Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
T.J. Hockenson,MIN,TE6,0,0,0,76.3,799.1,4.6,0.5,106.6
Marvin Mims Jr.,DEN,WR51,11.9,49.4,0.1,51.2,696.5,5.4,0.6,106.5
Travis Kelce,KC,TE7,0,0.5,0,80.8,760.3,5.3,0.9,106
Najee Harris,LAC,RB40,141.4,567.3,5,22,159.2,0.8,0.8,105.7
Rashod Bateman,BAL,WR52,0,0.6,0,45.5,691.5,5.5,0.1,102.3
Rachaad White,TB,RB41,114.5,462.5,2.8,37.6,282.8,2.1,1.3,101.7
Tyjae Spears,TEN,RB42,124.6,498.2,3.7,33.6,251.9,1,0.9,101.3
David Njoku,CLE,TE8,0,0,0,76.6,736.1,4.8,0.8,101.1
Cam Skattebo,NYG,RB43,129.4,555.6,3.6,24.8,190.6,0.9,1.2,99.3
Josh Downs,IND,WR53,0.3,5.6,0,63.3,737.3,4.3,0.5,98.9
Keenan Allen,LAC,WR54,0.5,2.7,0,58.6,684,5.1,0.6,98.2
Tank Bigsby,JAC,RB44,151.8,612.8,5,11.2,81.1,0.2,1.2,98.1
Trey Benson,ARI,RB45,138.1,600.5,3.9,13.9,104.7,0.5,0.9,95.5
Brandon Aiyuk,SF,WR55,0,1.7,0,48.6,734.8,3.6,0.4,94.3
Marquise Brown,KC,WR56,0.3,2,0,55,667.4,4.4,0.2,93.2
Tucker Kraft,GB,TE9,0,0,0,55.2,652.8,4.8,0.8,92.5
Adam Thielen,CAR,WR57,0,1.8,0,61.8,657.7,4.5,0.5,91.7
Cedric Tillman,CLE,WR58,0.7,0.8,0,55.7,696.3,3.9,0.9,91.2
Jerome Ford,CLE,RB46,120,511.5,2.8,28.4,193.5,0.9,0.8,90.9
Emeka Egbuka,TB,WR59,2.2,11.1,0,49.1,635.1,4.4,1.1,89.3
Tyler Warren,IND,TE10,0,5.5,0,57.9,647.4,4.3,1.1,88.6
Ray Davis,BUF,RB47,118.8,499.5,3.7,12.4,105.5,1,0.8,87.1
Xavier Legette,CAR,WR60,6.2,29,0.1,54.4,613.2,3.9,0.5,87
Jayden Higgins,HOU,WR61,0.7,2.5,0,47.7,629.5,4,0.5,86.2
Dylan Sampson,CLE,RB48,118.7,480.9,2.7,23.3,178.9,0.9,0.8,85.8
Dallas Goedert,PHI,TE11,0,0,0,57.2,633.4,3.9,0.5,85.8
Christian Kirk,HOU,WR62,0.7,4,0,50.6,649.4,3.5,0.8,84.7
Zach Ertz,WAS,TE12,0,0,0,58.1,539.4,5.1,0.1,84.2
Dalton Kincaid,BUF,TE13,0,0,0,57.1,603.2,4,0.5,83.6
Evan Engram,DEN,TE14,0,0,0,69.1,614.2,4,0.9,83.4
Jaydon Blue,DAL,RB49,109.2,476.9,2.9,19.3,150.7,0.8,0.8,83.2
